FAemb.	FBtemp	Rep	%GMRad	%GM5pn	%GM9pn	%GM9PA	%UMID	IVG
1	90	1	92	32	40	52	10.51	10.92
2	90	1	92	48	56	36	10.48	10.42
3	90	1	92	40	48	48	11.45	11
4	90	1	88	52	64	32	10.93	10.42
5	90	1	88	40	52	40	10.58	10.33
6	90	1	96	52	56	40	13.5	12
1	90	2	76	20	44	32	10.48	8.25
2	90	2	80	32	52	40	10.28	9.5
3	90	2	80	12	32	36	11.45	9.33
4	90	2	92	64	72	20	11	10.75
5	90	2	100	52	52	44	10.78	11.08
6	90	2	96	32	36	60	13.79	11.58
1	90	3	92	44	52	32	10.6	10.53
2	90	3	96	68	72	24	10.54	11.42
3	90	3	92	52	60	36	11.22	10.66
4	90	3	88	36	48	52	10.67	10.33
5	90	3	100	76	76	24	10.62	10.83
6	90	3	88	20	32	56	13.99	11
1	90	4	92	36	44	48	10.69	11
2	90	4	92	52	60	36	10.67	10.92
3	90	4	92	56	64	32	11.67	11.17
4	90	4	88	52	64	24	10.49	10.17
5	90	4	92	80	80	20	10.48	10.58
6	90	4	100	28	28	72	13.68	12.33
1	180	1	96	80	84	12	11.64	10.08
2	180	1	92	72	80	20	10.66	9.76
3	180	1	100	76	76	24	11.59	11.2
4	180	1	92	72	80	20	12.65	9.33
5	180	1	92	80	88	8	10.74	9.91
6	180	1	96	72	76	20	14.22	11
1	180	2	96	88	92	8	10.68	10.03
2	180	2	96	92	96	4	10.19	10.03
3	180	2	96	84	88	12	12.05	10.58
4	180	2	80	44	64	24	12.52	9
5	180	2	96	76	80	20	10.52	10.28
6	180	2	100	76	76	24	14.12	12
1	180	3	100	84	84	16	10.42	9.75
2	180	3	96	76	80	20	10.38	9.91
3	180	3	88	60	72	24	11.49	9.2
4	180	3	92	72	72	20	12.61	10.16
5	180	3	100	88	88	12	10.43	10.75
6	180	3	100	88	88	12	13.87	12
1	180	4	100	84	88	12	11.12	10.03
2	180	4	96	92	96	4	10.44	10.33
3	180	4	100	84	84	16	11.15	9.4
4	180	4	92	72	80	20	12.39	9.91
5	180	4	96	84	88	12	10.82	10.91
6	180	4	100	80	80	20	14.04	11.92
1	270	1	96	36	40	60	12.86	11.36
2	270	1	96	56	60	40	9.01	10.42
3	270	1	100	64	64	36	10.71	11.83
4	270	1	92	60	68	28	10.74	10.08
5	270	1	92	72	80	20	9.88	9.05
6	270	1	96	84	88	12	17.51	9.02
1	270	2	92	48	56	36	10.94	10.42
2	270	2	100	72	72	28	13.44	11.42
3	270	2	96	56	60	40	11.64	11.03
4	270	2	92	48	56	44	10.85	10.25
5	270	2	88	52	64	36	10.92	9.67
6	270	2	96	72	76	24	18.58	9.87
1	270	3	80	44	64	16	10.25	9.25
2	270	3	100	80	80	20	9.78	10.37
3	270	3	96	64	68	32	10.79	11.17
4	270	3	88	48	60	32	10.52	9.33
5	270	3	96	84	88	12	11.58	10.5
6	270	3	88	64	76	24	17.85	9.75
1	270	4	84	44	40	60	9.04	9.92
2	270	4	100	68	68	32	9.74	10.03
3	270	4	96	68	72	28	10.86	10.01
4	270	4	96	52	56	44	10.62	11.08
5	270	4	100	68	68	32	10.08	10.7
6	270	4	96	84	88	12	19.99	10.5
1	360	1	88	12	24	64	11.04	10.66
2	360	1	84	8	24	60	9.03	9.08
3	360	1	92	24	32	60	9.508	9.03
4	360	1	96	0	4	80	11.455	11.16
5	360	1	96	68	72	16	9.096	9.91
6	360	1	84	4	4	84	8.428	8.23
1	360	2	88	16	28	64	10.97	9.66
2	360	2	84	0	16	72	9.25	9.83
3	360	2	92	36	44	40	9.997	10.5
4	360	2	88	0	12	60	11.425	9.91
5	360	2	96	60	64	32	8.761	10.58
6	360	2	92	8	8	36	9.013	9.81
1	360	3	88	0	12	80	10.9	10.33
2	360	3	84	0	12	76	9.39	10.2
3	360	3	92	28	36	64	9.776	10.41
4	360	3	100	0	0	76	11.578	11.5
5	360	3	96	48	52	48	9.075	9.86
6	360	3	84	8	8	72	8.577	8.73
1	360	4	92	0	0	84	10.79	11.16
2	360	4	100	36	36	64	9.37	10.28
3	360	4	96	32	36	48	9.932	11.25
4	360	4	92	0	8	76	11.492	10.75
5	360	4	96	52	56	36	9.079	10.66
6	360	4	96	8	8	72	7.888	10.45
